"","character(0)"
"aazzen",1
"abandon",1
"abbi",2
"abl",3
"aboard",4
"abovement",1
"abrupt",1
"absolut",14
"abus",2
"accent",1
"accept",2
"accomplish",1
"accord",1
"account",10
"achiev",1
"acknowledg",1
"acquaint",1
"acr",1
"across",13
"act",3
"action",3
"activ",6
"actor",1
"actual",12
"add",1
"addendum",1
"addict",5
"addit",2
"address",7
"administ",1
"admir",1
"admit",2
"admonish",1
"ador",1
"adrenalin",1
"advanc",1
"advantag",1
"adventur",1
"advic",2
"aerotyn",3
"afar",1
"affect",1
"afford",5
"african",1
"aft",3
"afternoon",1
"agap",1
"age",2
"agenc",2
"agent",57
"aggress",1
"agit",1
"ago",2
"agre",5
"agreement",1
"ahead",3
"aim",2
"air",4
"airlin",4
"airport",2
"aisl",2
"akimbo",1
"ala",1
"alarm",1
"alden",1
"aliv",3
"aliyah",1
"alley",1
"allow",3
"almost",9
"alon",3
"along",6
"alongsid",1
"aloud",1
"alreadi",8
"also",9
"alt",1
"alway",6
"amateurish",1
"amaz",3
"ambien",1
"ambit",2
"america",4
"american",3
"amex",2
"amid",4
"amish",1
"amnesia",1
"among",3
"amount",1
"amway",1
"anatom",1
"andcent",1
"andi",1
"anew",1
"angl",3
"anim",2
"ankl",2
"anoth",16
"answer",5
"antarctica",1
"anti",1
"antiqu",1
"antithesi",1
"anxieti",1
"anybodi",5
"anymor",2
"anyon",5
"anyth",16
"anyway",7
"anywher",3
"anzali",1
"aoki",3
"apart",19
"apeshit",2
"apiec",2
"apolog",1
"appal",1
"appar",1
"appear",2
"appetit",1
"applaud",1
"applaus",12
"applebaum",3
"appli",1
"applic",1
"appreci",2
"approach",12
"appropri",1
"approv",1
"apr",3
"architect",1
"area",2
"arent",2
"arm",9
"armani",2
"armi",1
"arminarm",1
"arncliff",3
"around",22
"arraign",1
"arrang",1
"arrest",6
"arriv",3
"arrow",1
"art",1
"arteri",1
"articl",3
"artist",1
"asham",1
"ashor",1
"asid",1
"ask",13
"asleep",3
